AccountId,TransactionId,Reason,ProprietaryCode,Amount,BookingDate,Iban,Bic,Name,Currency
12345678,101308,AM04,N255,17.50,2024-06-01,HS82ZLDN1676643952671,MLROGJGZVQT, for Aurelia Mitchell,EUR
12345678,101318,AM04,N255,27.50,2024-06-02,HS82ZLDN1676643952672,MLROGJGZVQT, for Carsten England,EUR
12345678,101328,AM04,N255,37.50,2024-06-03,HS82ZLDN1676643952673,MLROGJGZVQT, for Diederich Penny,EUR
12345678,101338,AM04,N255,47.50,2024-06-04,HS82ZLDN1676643952674,MLROGJGZVQT, for Julie Blankley,EUR
12345678,101348,AM04,N255,57.50,2024-06-05,HS82ZLDN1676643952675,MLROGJGZVQT, for Carsten Blythe,EUR
12345678,101358,AM04,N255,67.50,2024-06-06,HS82ZLDN1676643952676,MLROGJGZVQT, for Luwana Hammett,EUR
12345678,101368,AM04,N255,77.50,2024-06-07,HS82ZLDN1676643952677,MLROGJGZVQT, for Sisto Stafford,EUR
12345678,101378,AM04,N255,87.50,2024-06-08,HS82ZLDN1676643952678,MLROGJGZVQT, for Agnes Kendal,EUR
12345678,101388,AM04,N255,97.50,2024-06-09,HS82ZLDN1676643952679,MLROGJGZVQT, for Belen Benson,EUR
12345678,101398,AM04,N255,107.50,2024-06-10,HS82ZLDN16766439526710,MLROGJGZVQT, for Cohen Rudge,EUR
12345678,101108,AM04,N255,117.50,2024-06-11,HS82ZLDN16766439526711,MLROGJGZVQT, for Iva England,EUR
12345678,101208,AM04,N255,127.50,2024-06-12,HS82ZLDN16766439526712,MLROGJGZVQT, for Wirth Rudge,EUR

